Country,Alpha_3,Alpha_2,Continent,Wedding_tradition
Mexico,MEX,MX,North_America,"The wedding lasso tradition is a unity ceremony performed after the exchange of vows using a lasso or rope to join the couple. It is placed over the couple’s shoulders by either the officiant or los padrinos (godparents) and symbolizes their everlasting union and status as one in the eyes of the Lord.The lasso is placed over the couple’s shoulders in a figure eight, which represents new beginnings in the Bible."
Norway,NOR,NO,Europe,"Brides in Norway traditionally wear a wedding crown; a treasured family heirloom passed down through the generations and said to represent the bride’s purity.Usually made from silver, a Norwegian wedding crown features gold spoon-shaped droplets designed to make music when the bride moves and dances. The theory is that this music wards off evil spirits and ensures a happy day."
Japan,JPN,JP,Asia,Japanese traditional wedding ceremony is held at a Shinto shrine performed by a Shinto priest. Family members and friends of the bride and groom to attend the ceremony although the number of the guests is still limited to be small in order to keep the ceremony private.
Indonesia,IDN,ID,Asia,"The first stage is the Serah-serahan where the groom will propose the bride with a ring, foods, and other things. The second part is the Siraman where the ritual is performed a day or two before the wedding. Then they will do the Midodareni at the night after the Siraman. The fourth stage is the Ngerik, where the bride’s face will be scraped to make her even more beautiful."
Somalia,SOM,SO,Africa,"A Somalian wedding typically lasts for 7 days. The first day is for the wedding ceremony itself, during the next 3 days, the guests celebrate at the bride’s house, and the last 3 days are spent at the groom’s house. On some of these nights, all of the wedding guests are feasting in the same space, but there are nights when men and women celebrate separately. They sing, dance, eat, joke, and have fun doing whatever activities they prefer. Usually, the festivities start in the afternoon and last until midnight."
Armenia,ARM,AM,Europe,"Upon entering their wedding reception, which is most likely at the groom’s place, the newlyweds break a plate for luck and then they are served lavash flatbread and honey by the groom’s mother. Then, the couple balances the bread on their shoulders to keep evil spirits away and they eat spoonfuls of honey for happiness."
Democratic Republic of Congo,COD,CO,Africa,"In the Democratic Republic of the Congo, the bride and groom are not allowed to smile for the duration of their big day. Seriousness is prioritised over joy and laughter. This shows that the couple are truly serious about marriage and the commitment they’re making."
Slovakia,SVK,SK,Europe,"An old Slovak tradition is that during the wedding ceremony and the feast afterwards the bride was wearing delicate green wreath on her head as a symbol of her purity and virginity. Just after the midnight, she had to take the wreath off and replace it with a beautiful hand-made handkerchief-like ’hat’, which symbolised the bride becoming a woman."
Namibia,NAM,NA,Africa,"In the Oshiwanbo culture of Namibia, the traditional wedding ceremony includes lots of chants, dancing, and ululation similar in manner with the Hausa women of Nigeria."
Nepal,NPL,NP,Asia,"On the wedding day, the groom and his family along with neighbors, relatives and music band leave for bride’s house. The group of people along with the groom and music band is called ‘Janti’. The janti is leaded by the group of women carrying trays with foods and gift (called ‘Saipata’) for the bride’s family."
China,CHN,CN,Asia,"In China, a bride's family will hire a ""good luck"" woman to take care of her as she travels from her home to her groom's in an elaborately decorated sedan chair. Even more, attendants are busy shielding the bride with parasols and tossing rice (a symbol of health and prosperity) at the chair."
Guatemala,GTM,GT,North_America,"As wedding reception hosts, the parents of Guatemalan grooms can do whatever they want, including smashing things. When the newlyweds arrive, it's a tradition that the groom's mom breaks a white ceramic bell filled with grains like rice and flour to bring prosperity to the couple."
Lebanon,LBN,LB,Asia,"In Lebanon, the wedding celebration, known as the Zaffe, gets off to a rowdy start with music, belly dancing, and shouting at both the groom's and bride's homes courtesy of the couple's friends, family, and, occasionally, professional dancers and musicians. Eventually, everyone ends up at the bride's house, where the couple is showered with blessings and flower petals as they leave for the ceremony."
Germany,DEU,DE,Europe,"In their first bit of housekeeping together, German couples traditionally clean up piles of porcelain dishes that their guests have thrown on the ground to ward off any evil spirits. The lesson of this ""Polterabend"": While working together, the two partners can face any challenge thrown their way."
Italy,ITA,IT,Europe,"The night before the wedding, an Italian groom may traditionally throw a surprise party outside his bride-to-be's window. ""La serenata"" begins with the groom, backed by musicians, serenading his fiancée. Then, it turns into a full-blown bash, complete with a lavish buffet and all the couple's friends and family."
Spain,ESP,ES,Europe,"At some Spanish weddings, the groom's friends will take scissors and chop up his tie, then sell the pieces to guests to raise more money for the newlyweds. The same practice is sometimes applied to the bride's garter, as well. Anything for a few extra bucks!"
Canada,CAN,CN,North_America,"At French-Canadian ceremonies, the couple's older, unmarried siblings traditionally perform a dance, all wearing wacky, brightly colored socks. As they dance, guests throw money at them which is then collected and presented to the newlyweds."
South Korea,KOR,KR,Asia,"As part of the ""Falaka"" ceremony in South Korea, the groom's friends and family hold him down as they beat the bottoms of his feet with a stick or dried fish. In between beatings, he's asked trivia questions, so the custom is said to help strengthen his memory and his feet."
India,IND,IN,Asia,"If you're a Hindu woman born during the astrological period when Mars and Saturn are both under the seventh house, you're cursed; according to custom, if you marry, be prepared for early widowhood. Fortunately, there's a remedy: Marry a tree first, then have it cut down to break the evil spell."
Sweden,SWE,SE,Europe,"In Sweden, whenever the bride leaves the table, all the ladies at the reception are free to steal a kiss from the groom. Whenever the groom leaves the room, all surrounding gentlemen are free to plant a peck on the bride, too."
Romania,ROU,RO,Europe,"In Romania, before the wedding, guests work together to playfully ""abduct"" the bride, whisking her away to an undisclosed location and demanding a ""ransom"" from the groom. Typical requests? A few bottles of alcohol, or—for those looking to really make the groom sweat—singing a love song in front of the entire party"
Peru,PER,PE,South_America,"In Peruvian weddings, the cake is typically assembled with ribbons attached to charms, one of which is a fake wedding ring. During the reception, all the single women in attendance participate in the ""cake pull."" Each participant grabs a ribbon, and the single lady who pulls out the fake wedding ring, per tradition, will be the next to get married."
Ireland,IRL,IE,Europe,"In Ireland, when the bride and groom are dancing, the bride must keep at least one foot on the floor at all times. Irish folklore states that if she doesn't, evil fairies will come and sweep her away."
Russia,RUS,RU,Europe,"According to custom, a Russian man must go to the bride's parents' home on the morning of the wedding and prove his worth by either paying a ""ransom"" for his lady, showering the bride's family with gifts, or simply humiliating himself by dancing and singing until the family has had enough."
Mongolia,MNG,MN,Asia,"A Mongolian couple hoping to set a wedding date must first kill a baby chicken and cut it apart, holding the knife together, to find a healthy liver. They keep at it until they're successful."
Venezuela ,VEN,VE,South_America,Don't wait until the reception's over to chat up a Venezuelan couple—they could be long gone. It's good luck for the newlyweds to sneak away before the party has come to an end without getting caught; it's also good luck for whichever guest catches on that they're gone.
Turkey,TUR,TR,Asia,"Friends of the groom plant the Turkish flag, which features a red crescent and star, in the ground at his home on the day he is to wed. Depending on the area, objects like fruit, vegetables, and even mirrors are placed on top, signifying that the wedding ceremony has begun."
Cuba,CUB,CU,North_America,It's a Cuban custom that every man who dances with the bride must pin money to her dress to help the couple pay for their wedding and honeymoon. Bank on it!
Philippines,PHL,PH,Asia,"After tying the knot, happy brides and grooms in the Philippines release a pair of white doves—one male, one female—into the air. The birds are said to represent a harmonious life together for the newly married couple."
Congo,COD,CD,Africa,"While most about-to-be marrieds brim with excitement and anticipation, Congolese couples must keep their happiness in check. During their entire wedding day, from ceremony to reception, the two are not allowed to smile. If they do, it would mean they aren't serious about marriage."
