No;Produk;Ulasan;Rating
1;JBL Endurance Run;Baru di pake lari 1 kali langsung mati sebelah. Beli asuransi fuse juga tapi gak tercover. Gak worth it sama sekali. Super mengecewakan.;1
2;JBL Endurance Run;Dikelola Tokopedia layanan buruk...informasi Toko sesat;1
3;JBL Endurance Run;deskripsi barang kurang tegas jelas;1
4;JBL Endurance Run;Kacau balau untuk pelayanan pengirimannya;1
5;JBL Endurance Run;Biasa aja bass nya;1
6;JBL Endurance Run;Baru 2 minggu udah mati sebelah;1
7;JBL Endurance Run;Bentuk fisik bagus bgt, packaging bagus banget! Otomatis ekspetasi gw kualitas audio wow dong ya. Ah pas di coba, cempreng banget, gak beda sama yg harga 15rb an, kecewa bgt kualitas audionya parah padahal ini sekelas jbl, tengs kapok;2
8;JBL Endurance Run;kecewa sama pelayanan next day dari ekspedisi anter aja, percuma jaminan juga ga menjamin sampai tepat waktu;2
9;JBL Endurance Run;sorry review jujur. kecewa dg suaranya yg cempreng.;2
10;JBL Endurance Run;barang nya bagus tp proses nya lama sekali;2
11;JBL Endurance Run;Bass nya sangat minim. Karena JBL Saya kira sudah jaminan suara bagus, tapi tyt gap nya dari varian mahal ke murah jauh banget. Jangan berharap banyak di Suara utk varian JBL yg mid Low tier Kalau durability sepertinya ok. Semoga awet ;2
12;JBL Endurance Run;Barangnya original. micknya cuma kedengeran kalau dideketin ke mulut, pengiriman bermasalah. pembeli beli 2 barang dan oleh penjual barang yang ini disusulkan tanpa memberitahukan pembeli dahulu;3
13;JBL Endurance Run;b ajaaaaaa tipis jugaaa ga tau ni awet apa engga;3
14;JBL Endurance Run;Kualitas earphonenya gk usah diragukan lagi bintang 5 untuk ini earphone . tapi proses pengirimannya sangat lama sekali sampai memakan waktu 8 hari ;3
15;JBL Endurance Run;Konfirmasi pembelian sangat lama, -1 jam sblm batal otomatis baru diproses, produk nya bagus;3
16;JBL Endurance Run;Packing rapi dan aman. barang sesuai dengan pesanan. tidak ada kerusakan, suara yang dihasilkan bagus. namun agak sedikit kurang nyaman jika dipakai dalam jangka waktu lumayan lama;4
17;JBL Endurance Run;nicee .. barang diterima dengan baik.. semoga awet;4
18;JBL Endurance Run;Barang sesuai dan bagus cuma untuk pilihan ekspedisinya harus diperbanyak. Kalau bisa jangan pakai JNE, soalnya performa sangat buruk....;4
19;JBL Endurance Run;produk original JBL memang terbaik;4
20;JBL Endurance Run;Barang ori, bass bagus, suara jernih. 4 bintang karena di etalase ditulis kota bandung dengan estimasi pengiriman 1-2 hari, tetapi malah dikirim dari surabaya sehingga butuh waktu 4-5 hari. saya chat hanya dibalas oleh bot dan tidak di jawab mengapa berbeda tempat.;4
21;JBL Endurance Run;pesanannya datang agak lama;4
22;JBL Endurance Run;barang ori dan berfungsi dgn baik. cuma pengirimannya lambat;4
23;JBL Endurance Run;mantul;4
24;JBL Endurance Run;lumayanlah...cm bass krg nendang dibanding sony yg harga setara;4
25;JBL Endurance Run;semoga awet.. suara bagus, gak bisa masukin foto;4
26;JBL Endurance Run;JBL tak pernah mengecewakan;5
27;JBL Endurance Run;Nyaman dipakai, suaranya bagus, sesuai dengan deskripsi toko. Mantap..;5
28;JBL Endurance Run;kualitas sesuai, bagus;5
29;JBL Endurance Run;Mantaap uda beli 3 kali produk jbl disini so far so good barang baguss bgt, apalagi pas harganya turun mantaap bener ! Worth it!;5
30;JBL Endurance Run;sangat worth;5
31;JBL Endurance Run;Ga salah.. suara OK banget dan respon juga cepet banget.. walopun tgl merah natal tetap dikirim..;5
32;JBL Endurance Run;biar bintang yang bicara 1. bass mantul 2.treable mantul 3.vocal jelas 4.sound bener2 clear;5
33;JBL Endurance Run;Packingnya bagus dn tebal. Pengiriman cepat. Barang wahid. Kualitas suara empuk dn bass nya tegas tapi sopan. Mantap jiwa;5
34;JBL Endurance Run;suara joss;5
35;JBL Endurance Run;Excellent;5
36;Earpods Lightning Iphone Handsfree Headset earphone original;Maaf barang tidak ori tidak biasanya sy beli,,, ini lebih mendem g terlalu bagus;1
37;Earpods Lightning Iphone Handsfree Headset earphone original;Sorry ya ini ulasan sejujur2nya. ini bukan Original, jauh dr segi kelenturan kabel dan bass suara.. headset berfungsi dengan baik, alangkah baiknya jangan klaim Original.. jadilah seller yg bijak.. thx;1
38;Earpods Lightning Iphone Handsfree Headset earphone original;Mati sebelah;1
39;Earpods Lightning Iphone Handsfree Headset earphone original;Bukan ori gan...kena prank nich,hayo siapa lg yg mau kena prank;1
40;Earpods Lightning Iphone Handsfree Headset earphone original;Bukan ori kualitas bahan jauh dari original;1
41;Earpods Lightning Iphone Handsfree Headset earphone original;Maaf saya kasih bintang 1, produk berfungsi namun barang tdk ori :'( dan saya sadarnya telat jadi tidak sempat komplain, hati2 ya;1
42;Earpods Lightning Iphone Handsfree Headset earphone original;Bahan, material, dan kualitas suara berbeda dengan earpods apple yg asli. Belum ada 1 bulan bagian earpiece juga sudah lepas. Highly not recommended.;1
43;Earpods Lightning Iphone Handsfree Headset earphone original;Kirain beneran original iPhone, kualitas nya ga sebagus yang iPhone asli;1
44;Earpods Lightning Iphone Handsfree Headset earphone original;BARANG NYA PALSU SUARANYA GA ENAK BANGET DI DENGAR !!!;1
45;Earpods Lightning Iphone Handsfree Headset earphone original;Saya beli barang dampai saat ini tdk terima… tapi sudah selesai..;1
46;Earpods Lightning Iphone Handsfree Headset earphone original;Kendala: Kualitas barang bermasalah, Pelayanan penjual kurang;2
47;Earpods Lightning Iphone Handsfree Headset earphone original;bukan headset ori... karena saya tau perbedaan headset iphone asli dan tidak dari segi kualitas bassnya;2
48;Earpods Lightning Iphone Handsfree Headset earphone original;Bassnya agak ketahan, sudah dibandingin dengan yang copotan iphone, suaranya masih kurang;2
49;Earpods Lightning Iphone Handsfree Headset earphone original;Jika saya call dengan earphone ini, lawan bicara mengeluhkan suara saya tidak bisa didengar dengan jelas dan banyak noise.;2
50;Earpods Lightning Iphone Handsfree Headset earphone original;Mic dari handsfreenya kurang bagus, keresek keresek kalo rekam suara, tidak sebagus kalo beli di store asli;2
51;Earpods Lightning Iphone Handsfree Headset earphone original;Audionya gak enak, katanya original iphone, tpi pas aq bandingin sama yg bener” original nya, audionya beda jauh;2
52;Earpods Lightning Iphone Handsfree Headset earphone original;Bungkusnya udah terbuka;2
53;Earpods Lightning Iphone Handsfree Headset earphone original;Gak ori sdh dilakukan perbandingan……..tpi kualitas oke…. please jgn claim original dr apple thanks;3
54;Earpods Lightning Iphone Handsfree Headset earphone original;hanya sebelah yg berfungsi;3
55;Earpods Lightning Iphone Handsfree Headset earphone original;kualitas suara jika dibandingkan dengan ibox punya beda.;3
56;Earpods Lightning Iphone Handsfree Headset earphone original;Barang mudah rusak baru 2 minggu patah colokanya;3
57;Earpods Lightning Iphone Handsfree Headset earphone original;Kayaknya gak ori sih secara suara gak nendang banget, bass kurang, yg paling penting baru seminggu pake ketarik dikit langsung putus sebelah;3
58;Earpods Lightning Iphone Handsfree Headset earphone original;Barangnya ga original. Berisik suaranya;3
59;Earpods Lightning Iphone Handsfree Headset earphone original;Kayaknya ga ori soalnya suaranya gak sejernih earphone apple ori;3
60;Earpods Lightning Iphone Handsfree Headset earphone original;Agak sedikit kecewa,ada beret di speaker telinga. Tapi suara aman;3
61;Earpods Lightning Iphone Handsfree Headset earphone original;seller super fast, build quality bagus. minor dikit untuk volume up agak perlu diteken untuk berfungsi, mic quality good bagus untuk call.;4
62;Earpods Lightning Iphone Handsfree Headset earphone original;sesuai deskripsi;4
63;Earpods Lightning Iphone Handsfree Headset earphone original;Barng ok, pengirimannya aja yg nggak;4
64;Earpods Lightning Iphone Handsfree Headset earphone original;"Well gw iseng beli cuma buat ngebandingin sama headset ori yang dapet di dusbox dari kita beli, setelah beberapa hari pake, perbedaan yang gw dapet itu di bassnya yang kurang dalem, dan mid nya yang kurang ""renyah"". Pas pertama colok ke hp juga sempet mendem gitu suaranya tapi entah kenapa lama-kelamaan hilang tuh mendem.... overall sih ya cukup sih kalo buat headset darurat";4
65;Earpods Lightning Iphone Handsfree Headset earphone original;barang sesuai deskripsi dan berfungsi dengan baik;4
66;Earpods Lightning Iphone Handsfree Headset earphone original;udah di pake selama 2 hari.. overall bagus sih cuman mic nya pas nelpon tuh orang lain susah dengernya ga tau knp mic nya susah nangkep suara aku klo nelpon makanya aku kasih bintang 4 ajaTpi selain itu semuanya mantep kok.;4
67;Earpods Lightning Iphone Handsfree Headset earphone original;Barangnya original;4
68;Earpods Lightning Iphone Handsfree Headset earphone original;Bagus dan jernih suaranya;4
69;Earpods Lightning Iphone Handsfree Headset earphone original;Mayanlah, mendekati ori;4
70;Earpods Lightning Iphone Handsfree Headset earphone original;Kualitas bagus;4
71;Earpods Lightning Iphone Handsfree Headset earphone original;Kualitas okey, barang sesuai, sesuai sama deskripsi, admin fast response, kurir nya asik.;5
72;Earpods Lightning Iphone Handsfree Headset earphone original;Packingnya aman dan rapi. Kualitas suaranya mantabh g jauh beda sama yang original. Overall recommend banget ;5
73;Earpods Lightning Iphone Handsfree Headset earphone original;Kualitas oke sih, harga jauh dari yg distore. Mudah2an awet;5
74;Earpods Lightning Iphone Handsfree Headset earphone original;Green peel n stuff, andalan;5
75;Earpods Lightning Iphone Handsfree Headset earphone original;Alhamdulillah dapat digunakan dengan baikkk top;5
76;Earpods Lightning Iphone Handsfree Headset earphone original;Suara musik & ngobrol oke;5
77;Earpods Lightning Iphone Handsfree Headset earphone original;produknya baguus, berfungsi dgn baik, packing aman, pengiriman oke. terima kasih.;5
78;Earpods Lightning Iphone Handsfree Headset earphone original;Mantap;5
79;Earpods Lightning Iphone Handsfree Headset earphone original;Original sih nih, ya suaranya kurang lebih sama dengan yg ori gue beli di store. Kedetect health juga. Ya mudah mudahan awet lah yaaa;5
80;Earpods Lightning Iphone Handsfree Headset earphone original;barang sudah sampai, langsung di coba, suaranya bagus....pengempakan juga rapi.....puas lah.....akan belanja lagi disini;5
81;Handsfree headset hf earphone JBL PM-02 super bass packing import;jelek a.s.w;1
82;Handsfree headset hf earphone JBL PM-02 super bass packing import;kresek kresek , beli dua bunyi kresek kresek.;1
83;Handsfree headset hf earphone JBL PM-02 super bass packing import;tidak sesuai diskripsi barang kualitas jeleeeeeek banget, sampah;1
84;Handsfree headset hf earphone JBL PM-02 super bass packing import;kurirnya tidak ramah;1
85;Handsfree headset hf earphone JBL PM-02 super bass packing import;pesan dua yang satu mati sebelah, satunya mati;1
86;Handsfree headset hf earphone JBL PM-02 super bass packing import;mengecewakan;1
87;Handsfree headset hf earphone JBL PM-02 super bass packing import;katanya ngebass ternyata kaga asw;1
88;Handsfree headset hf earphone JBL PM-02 super bass packing import;suaranya kurang bagus;2
89;Handsfree headset hf earphone JBL PM-02 super bass packing import;Headsetnya bisa dipakai utk mendengar, tapi micnya gak berfungsi. yahh sesuai hargalah;2
90;Handsfree headset hf earphone JBL PM-02 super bass packing import;bass nya kurang, suaranya pun kurang jelas;2
91;Handsfree headset hf earphone JBL PM-02 super bass packing import;beli 2 ....yg satu speaker cm idup sebelah...;2
92;Handsfree headset hf earphone JBL PM-02 super bass packing import;pengamanan kurang;2
93;Handsfree headset hf earphone JBL PM-02 super bass packing import;kurang pengaman;2
94;Handsfree headset hf earphone JBL PM-02 super bass packing import;Bru dipake sehari udh mati sebelah;2
95;Handsfree headset hf earphone JBL PM-02 super bass packing import;Terima kasih atas barang yang sesuai dgn apa yg ada di gambar etalase toko, semoga bisa awet dan bertahan lama.;3
96;Handsfree headset hf earphone JBL PM-02 super bass packing import;saya pesan hf 8 macam,4 macam sama persis barang nya cm beda kotak n beda harga;3
97;Handsfree headset hf earphone JBL PM-02 super bass packing import;mic nya gak bisa dipakai buat musik si masih okey;3
98;Handsfree headset hf earphone JBL PM-02 super bass packing import;bagus tdk , jelek pun tdk , sesuai dgn harga nya sj .;3
99;Handsfree headset hf earphone JBL PM-02 super bass packing import;ada yg berfungsi sebelah saja;3
100;Handsfree headset hf earphone JBL PM-02 super bass packing import;pengiriman lamban;3
101;Handsfree headset hf earphone JBL PM-02 super bass packing import;ok;3
102;Handsfree headset hf earphone JBL PM-02 super bass packing import;Tidak sesuai deskripsi, beli dua, dua2nya sama kurang ngebas, tombol play, pause tidak ber fungsi. Apalagi untuk pindah lagu melalui tombol sama sekali tidak bisa;3
103;Handsfree headset hf earphone JBL PM-02 super bass packing import;Untuk harganya lumayan lah dalam pemakaian jangka lama agak kurang bagus untuk suara.;3
104;Handsfree headset hf earphone JBL PM-02 super bass packing import;Packing nya berantakan, kardusnya penyok. Suara headset yg kirinya lebih kecil dari yg kanan.;3
105;Handsfree headset hf earphone JBL PM-02 super bass packing import;barang sesui harga;4
106;Handsfree headset hf earphone JBL PM-02 super bass packing import;murah, dan lumayan. walaupun cuma 8 dari 10 yang dipesen bisa dipake;4
